sensor_id,timestamp,temperature
23517,2023-02-15 00,29
23517,2023-02-15 01,28
23517,2023-02-15 02,28
23517,2023-02-15 03,28
23517,2023-02-15 04,28
23517,2023-02-15 05,28
23517,2023-02-15 06,28
23517,2023-02-15 07,27
23517,2023-02-15 08,27
23517,2023-02-15 09,27
23517,2023-02-15 10,27
23517,2023-02-15 11,27
23517,2023-02-15 12,27
23517,2023-02-15 16,26
23517,2023-02-15 17,26
23517,2023-02-15 18,26
23517,2023-02-15 19,27
23517,2023-02-15 20,23
23517,2023-02-15 21,22
23517,2023-02-15 22,28
23517,2023-02-15 23,33
23517,2023-02-16 00,34
23517,2023-02-16 01,34
23517,2023-02-16 02,34
23517,2023-02-16 03,34
23517,2023-02-16 04,34
23517,2023-02-16 05,34
23517,2023-02-16 06,34
23517,2023-02-16 07,34
23517,2023-02-16 08,34
23517,2023-02-16 09,34
23517,2023-02-16 10,34
23517,2023-02-16 11,34
23517,2023-02-16 12,34
23517,2023-02-16 13,34
23517,2023-02-16 14,34
23517,2023-02-16 15,34
23517,2023-02-16 16,34
23517,2023-02-16 17,33
23517,2023-02-16 18,34
23517,2023-02-16 19,34
23517,2023-02-16 20,33
23517,2023-02-16 21,33
23517,2023-02-16 22,33
23517,2023-02-16 23,34
23517,2023-02-17 00,34
23517,2023-02-17 01,34
23517,2023-02-17 02,34
23517,2023-02-17 03,34
23517,2023-02-17 04,34
23517,2023-02-17 05,34
23517,2023-02-17 06,34
23517,2023-02-17 07,34
23517,2023-02-17 08,34
23517,2023-02-17 09,33
23517,2023-02-17 10,33
23517,2023-02-17 11,33
23517,2023-02-17 12,33
23517,2023-02-17 13,33
23517,2023-02-17 14,33
23517,2023-02-17 15,33
23517,2023-02-17 16,33
23517,2023-02-17 17,33
23517,2023-02-17 18,32
23517,2023-02-17 19,32
23517,2023-02-17 20,32
23517,2023-02-17 21,32
23517,2023-02-17 22,32
23517,2023-02-17 23,33
23517,2023-02-18 00,33
23517,2023-02-18 01,33
23517,2023-02-18 02,34
23517,2023-02-18 03,34
23517,2023-02-18 04,34
23517,2023-02-18 05,33
23517,2023-02-18 06,34
23517,2023-02-18 07,33
23517,2023-02-18 08,33
23517,2023-02-18 09,33
23517,2023-02-18 10,33
23517,2023-02-18 11,33
23517,2023-02-18 12,33
23517,2023-02-18 13,33
23517,2023-02-18 14,33
23517,2023-02-18 15,33
23517,2023-02-18 16,33
23517,2023-02-18 17,33
23517,2023-02-18 18,32
23517,2023-02-18 19,32
23517,2023-02-18 20,33
23517,2023-02-18 21,33
23517,2023-02-18 22,33
23517,2023-02-18 23,33
23517,2023-02-19 00,33
23517,2023-02-19 01,34
23517,2023-02-19 02,34
23517,2023-02-19 03,34
23517,2023-02-19 04,34
23517,2023-02-19 05,34
23517,2023-02-19 06,33
23517,2023-02-19 07,34
23517,2023-02-19 08,34
23517,2023-02-19 09,34
23517,2023-02-19 10,33
23517,2023-02-19 11,34
23517,2023-02-19 12,33
23517,2023-02-19 13,33
23517,2023-02-19 14,34
23517,2023-02-19 15,33
23517,2023-02-19 16,33
23517,2023-02-19 17,33
23517,2023-02-19 18,32
23517,2023-02-19 19,32
23517,2023-02-19 20,33
23517,2023-02-19 21,33
23517,2023-02-19 22,33
23517,2023-02-19 23,33
23517,2023-02-20 00,34
23517,2023-02-20 01,34
23517,2023-02-20 02,34
23517,2023-02-20 03,34
23517,2023-02-20 04,34
23517,2023-02-20 05,34
23517,2023-02-20 06,34
23517,2023-02-20 07,34
23517,2023-02-20 08,34
23517,2023-02-20 09,33
23517,2023-02-20 10,34
23517,2023-02-20 11,34
23517,2023-02-20 12,34
23517,2023-02-20 13,34
23517,2023-02-20 14,33
23517,2023-02-20 15,34
23517,2023-02-20 16,34
23517,2023-02-20 17,33
23517,2023-02-20 18,32
23517,2023-02-20 19,33
23517,2023-02-20 20,33
23517,2023-02-20 21,33
23517,2023-02-20 22,34
23517,2023-02-20 23,34
23517,2023-02-21 00,34
23517,2023-02-21 01,34
23517,2023-02-21 02,34
23517,2023-02-21 03,34
23517,2023-02-21 04,34
23517,2023-02-21 05,34
23517,2023-02-21 06,34
23517,2023-02-21 07,34
23517,2023-02-21 08,34
23517,2023-02-21 09,33
23517,2023-02-21 10,34
23517,2023-02-21 11,34
23517,2023-02-21 12,34
23517,2023-02-21 13,33
23517,2023-02-21 14,34
23517,2023-02-21 15,34
23517,2023-02-21 16,34
23517,2023-02-21 17,33
23517,2023-02-21 18,33
23517,2023-02-21 19,33
23517,2023-02-21 20,33
23517,2023-02-21 21,34
23517,2023-02-21 22,34
23517,2023-02-21 23,34
23517,2023-02-22 00,34
23517,2023-02-22 01,33
23517,2023-02-22 02,33
23517,2023-02-22 03,33
23517,2023-02-22 04,33
23517,2023-02-22 05,33
23517,2023-02-22 06,33
23517,2023-02-22 07,32
23517,2023-02-22 08,32
23517,2023-02-22 09,33
23517,2023-02-22 10,33
23517,2023-02-22 11,33
23517,2023-02-22 12,33
23517,2023-02-22 13,33
23517,2023-02-22 14,33
23517,2023-02-22 15,33
23517,2023-02-22 16,33
23517,2023-02-22 17,33
23517,2023-02-22 18,33
23517,2023-02-22 19,33
23517,2023-02-22 20,33
23517,2023-02-22 21,33
23517,2023-02-22 22,33
23517,2023-02-22 23,33
23517,2023-02-23 00,33
23517,2023-02-23 01,33
23517,2023-02-23 02,33
23517,2023-02-23 03,33
23517,2023-02-23 04,33
23517,2023-02-23 05,33
23517,2023-02-23 06,33
23517,2023-02-23 07,32
23517,2023-02-23 08,33
23517,2023-02-23 09,33
23517,2023-02-23 10,32
23517,2023-02-23 11,32
23517,2023-02-23 12,32
23517,2023-02-23 13,32
23517,2023-02-23 14,32
23517,2023-03-06 21,26
23517,2023-03-06 22,27
23517,2023-03-06 23,27
23517,2023-03-07 00,28
23517,2023-03-07 01,27
23517,2023-03-07 02,25
23517,2023-03-07 03,24
23517,2023-03-07 04,-39
23517,2023-03-07 05,22
23517,2023-03-07 06,21
23517,2023-03-07 07,22
23517,2023-03-07 08,21
23517,2023-03-07 09,-39
23517,2023-03-07 10,21
23517,2023-03-07 11,20
23517,2023-03-07 12,21
23517,2023-03-07 13,20
23517,2023-03-07 14,21
23517,2023-03-07 15,21
23517,2023-03-07 16,21
23517,2023-03-07 17,22
23517,2023-03-07 18,23
23517,2023-03-07 19,24
23517,2023-03-07 20,26
23517,2023-03-07 21,27
23517,2023-03-07 22,27
23517,2023-03-07 23,29
23517,2023-03-08 00,29
23517,2023-03-08 01,29
23517,2023-03-08 02,28
23517,2023-03-08 03,26
23517,2023-03-08 04,25
23517,2023-03-08 05,25
23517,2023-03-08 06,24
23517,2023-03-08 07,23
23517,2023-03-08 08,23
23517,2023-03-08 09,22
23517,2023-03-08 10,22
23517,2023-03-08 11,22
23517,2023-03-08 12,21
23517,2023-03-08 13,21
23517,2023-03-08 14,21
23517,2023-03-08 15,22
23517,2023-03-08 16,23
23517,2023-03-08 17,24
23517,2023-03-08 18,26
23517,2023-03-08 19,26
23517,2023-03-08 20,26
23517,2023-03-08 21,27
23517,2023-03-08 22,28
23517,2023-03-08 23,29
23517,2023-03-09 00,29
23517,2023-03-09 01,29
23517,2023-03-09 02,29
23517,2023-03-09 03,28
23517,2023-03-09 04,27
23517,2023-03-09 05,26
23517,2023-03-09 06,25
23517,2023-03-09 07,24
23517,2023-03-09 08,23
23517,2023-03-09 09,23
23517,2023-03-09 10,23
23517,2023-03-09 11,23
23517,2023-03-09 12,23
23517,2023-03-09 13,23
23517,2023-03-09 14,23
23517,2023-03-09 15,23
23517,2023-03-09 16,22
23517,2023-03-09 17,23
23517,2023-03-09 18,26
23517,2023-03-09 19,27
23517,2023-03-09 20,28
23517,2023-03-09 21,28
23517,2023-03-09 22,28
23517,2023-03-09 23,28
23517,2023-03-10 00,28
23517,2023-03-10 01,28
23517,2023-03-10 02,27
23517,2023-03-10 03,27
23517,2023-03-10 04,25
23517,2023-03-10 05,26
23517,2023-03-10 06,25
23517,2023-03-10 07,25
23517,2023-03-10 08,25
23517,2023-03-10 09,26
23517,2023-03-10 10,27
23517,2023-03-10 11,26
23517,2023-03-10 12,27
23517,2023-03-10 13,28
23517,2023-03-10 14,28
23517,2023-03-10 15,29
23517,2023-03-10 16,29
23517,2023-03-10 17,31
23517,2023-03-10 18,32
23517,2023-03-10 19,33
23517,2023-03-10 20,33
23517,2023-03-10 21,33
23517,2023-03-10 22,33
23517,2023-03-10 23,32
23517,2023-03-11 00,33
23517,2023-03-11 01,32
23517,2023-03-11 02,33
23517,2023-03-11 03,33
23517,2023-03-11 04,33
23517,2023-03-11 05,33
23517,2023-03-11 06,33
23517,2023-03-11 07,33
23517,2023-03-11 08,32
23517,2023-03-11 09,32
23517,2023-03-11 10,32
23517,2023-03-11 11,33
23517,2023-03-11 12,33
23517,2023-03-11 13,32
23517,2023-03-11 14,32
23517,2023-03-11 15,33
23517,2023-03-11 16,33
23517,2023-03-11 17,33
23517,2023-03-11 18,33
23517,2023-03-11 19,32
23517,2023-03-11 20,32
23517,2023-03-11 21,34
23517,2023-03-11 22,34
23517,2023-03-11 23,34
23517,2023-03-12 00,34
23517,2023-03-12 01,34
23517,2023-03-12 02,35
23517,2023-03-12 03,35
23517,2023-03-12 04,35
23517,2023-03-12 05,35
23517,2023-03-12 06,34
23517,2023-03-12 07,34
23517,2023-03-12 08,34
23517,2023-03-12 09,34
23517,2023-03-12 10,34
23517,2023-03-12 11,34
23517,2023-03-12 12,34
23517,2023-03-12 13,34
23517,2023-03-12 14,34
23517,2023-03-12 15,34
23517,2023-03-12 16,34
23517,2023-03-12 17,34
23517,2023-03-12 18,34
23517,2023-03-12 19,34
23517,2023-03-12 20,34
23517,2023-03-12 21,34
23517,2023-03-12 22,33
23517,2023-03-12 23,34
23517,2023-03-13 00,34
23517,2023-03-13 01,34
23517,2023-03-13 02,34
23517,2023-03-13 03,34
23517,2023-03-13 04,34
23517,2023-03-13 05,34
23517,2023-03-13 06,34
23517,2023-03-13 07,34
23517,2023-03-13 08,34
23517,2023-03-13 09,34
23517,2023-03-13 10,34
23517,2023-03-13 11,34
23517,2023-03-13 12,34
23517,2023-03-13 13,34
23517,2023-03-13 14,34
23517,2023-03-13 15,34
23517,2023-03-13 16,34
23517,2023-03-13 17,34
23517,2023-03-13 18,33
23517,2023-03-13 19,33
23517,2023-03-13 20,33
23517,2023-03-13 21,34
23517,2023-03-13 22,34
23517,2023-03-13 23,34
23517,2023-03-14 00,34
23517,2023-03-14 01,35
23517,2023-03-14 02,35
23517,2023-03-14 03,35
23517,2023-03-14 04,35
23517,2023-03-14 05,35
23517,2023-03-14 06,34
23517,2023-03-14 07,35
23517,2023-03-14 08,34
23517,2023-03-14 09,34
23517,2023-03-14 10,34
23517,2023-03-14 11,34
23517,2023-03-14 12,34
23517,2023-03-14 13,34
23517,2023-03-14 14,34
23517,2023-03-14 15,34
23517,2023-03-14 16,34
23517,2023-03-14 17,34
23517,2023-03-14 18,34
23517,2023-03-14 19,34
23517,2023-03-14 20,34
23517,2023-03-14 21,34
23517,2023-03-14 22,34
23517,2023-03-14 23,34
23517,2023-03-15 00,34
23517,2023-03-15 01,34
23517,2023-03-15 02,34
23517,2023-03-15 03,34
23517,2023-03-15 04,33
23517,2023-03-15 05,33
23517,2023-03-15 06,31
23517,2023-03-15 07,30
23517,2023-03-15 08,30
23517,2023-03-15 09,29
23517,2023-03-15 10,29
23517,2023-03-15 11,28
23517,2023-03-15 12,28
23517,2023-03-15 13,27
23517,2023-03-15 14,27
23517,2023-03-15 15,26
